Goal;X;Y;C;shot_aerial_won;shot_open_goal;shot_deflected;Distance_(0.365, 10.291];Distance_(10.291, 14.058];Distance_(14.058, 18.305];Distance_(18.305, 23.672];Distance_(23.672, 74.472];Angle_(-0.001, 0.254];Angle_(0.254, 0.317];Angle_(0.317, 0.406];Angle_(0.406, 0.599];Angle_(0.599, 2.795];shot_type_Free Kick;shot_type_Open Play;shot_type_Penalty;shot_body_part_Head;shot_body_part_Left Foot;shot_body_part_Other;shot_body_part_Right Foot
0;7.166.666.666.666.670;77.5;27.5;0.0;0.0;0.0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1
0;14.25;60.375;10.375;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
0;6.75;51.5;1.5;0.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
0;13.25;36.375;13.625;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0
0;12.666.666.666.666.600;53.0;3.0;0.0;0.0;0.0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1
0;3.5;38.0;12.0;1.0;0.0;0.0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
0;2.316.666.666.666.660;62.5;12.5;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1;15.0;50.5;0.5;0.0;0.0;0.0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1
0;2.158.333.333.333.330;32.25;17.75;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1
0;3.066.666.666.666.660;38.375;11.625;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1;3.5;65.125;15.125;0.0;0.0;0.0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
0;12.25;60.5;10.5;0.0;0.0;0.0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1
0;12.916.666.666.666.600;52.125;2.125;0.0;0.0;0.0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1
0;8.75;60.75;10.75;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
0;25.75;4.837.500.000.000.000;1.624.999.999.999.990;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
0;2.441.666.666.666.660;73.125;23.125;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
0;19.0;71.375;21.375;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0
0;1.891.666.666.666.660;50.0;0.0;0.0;0.0;0.0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
1;30.833.333.333.333.200;56.25;6.25;0.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
0;6.333.333.333.333.320;59.0;9.0;0.0;0.0;0.0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
1;7.666.666.666.666.670;66.625;16.625;0.0;0.0;0.0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1
0;6.166.666.666.666.670;53.875;3.875;1.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
0;17.0;39.5;10.5;0.0;0.0;0.0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1
0;9.916.666.666.666.670;62.125;12.125;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
1;1.633.333.333.333.330;42.625;7.375;0.0;0.0;0.0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1
1;9.916.666.666.666.670;34.75;15.25;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
0;12.083.333.333.333.300;37.125;12.875;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
0;2.0;61.5;11.5;0.0;0.0;0.0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
1;13.333.333.333.333.200;51.375;1.375;0.0;1.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0
0;4.166.666.666.666.670;8.25;41.75;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1
0;9.416.666.666.666.670;37.875;12.125;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;8.833.333.333.333.320;28.875;21.125;0.0;0.0;0.0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1
0;1.691.666.666.666.660;75.375;25.375;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0
0;4.583.333.333.333.320;49.5;0.5;0.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
0;8.833.333.333.333.320;56.375;6.375;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
1;10.0;50.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
0;6.583.333.333.333.320;50.75;0.75;1.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
0;2.633.333.333.333.330;4.962.500.000.000.000;0.3749999999999929;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
0;5.5;25.875;24.125;0.0;0.0;0.0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0
0;9.0;4.712.500.000.000.000;2.874.999.999.999.990;0.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
0;1.758.333.333.333.330;75.875;25.875;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
0;5.166.666.666.666.670;37.75;12.25;1.0;0.0;0.0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
0;2.016.666.666.666.660;51.125;1.125;0.0;0.0;0.0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
1;13.416.666.666.666.600;4.912.499.999.999.990;0.8750000000000071;0.0;0.0;0.0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;10.083.333.333.333.300;33.375;16.625;0.0;0.0;0.0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0
0;1.908.333.333.333.330;51.5;1.5;0.0;0.0;0.0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
0;14.25;41.125;8.875;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
0;4.5;37.625;12.375;0.0;0.0;0.0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
0;2.433.333.333.333.330;29.25;20.75;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0
0;9.583.333.333.333.320;54.625;4.625;1.0;0.0;0.0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
0;12.75;50.75;0.75;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;2.316.666.666.666.660;30.125;19.875;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
0;14.333.333.333.333.300;67.875;17.875;0.0;0.0;0.0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0
1;5.0;59.875;9.875;0.0;0.0;0.0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;2.008.333.333.333.330;4.537.499.999.999.990;4.625.000.000.000.000;0.0;0.0;0.0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1
0;4.666.666.666.666.670;62.75;12.75;0.0;0.0;0.0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
1;10.166.666.666.666.600;59.5;9.5;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
0;15.833.333.333.333.300;74.0;24.0;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
0;4.583.333.333.333.320;63.375;13.375;0.0;0.0;0.0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
0;9.416.666.666.666.670;39.0;11.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
